step,species_id,population_size
0,prey_0,1
0,prey_1,1
0,prey_2,1
0,prey_3,1
0,prey_4,1
0,prey_5,1
0,prey_6,1
0,prey_7,1
0,prey_8,1
0,prey_9,1
0,prey_10,1
0,prey_11,1
0,prey_12,1
0,prey_13,1
0,prey_14,1
0,prey_15,1
0,prey_16,1
0,prey_17,1
0,prey_18,1
0,prey_19,1
0,prey_20,1
0,prey_21,1
0,prey_22,1
0,prey_23,1
0,prey_24,1
0,prey_25,1
0,prey_26,1
0,prey_27,1
0,prey_28,1
0,prey_29,1
0,prey_30,1
0,prey_31,1
0,prey_32,1
0,prey_33,1
0,prey_34,1
0,prey_35,1
0,prey_36,1
0,prey_37,1
0,prey_38,1
0,prey_39,1
0,prey_40,1
0,prey_41,1
0,prey_42,1
0,prey_43,1
0,prey_44,1
0,prey_45,1
0,prey_46,1
0,prey_47,1
0,prey_48,1
0,prey_49,1
0,prey_50,1
0,prey_51,1
0,prey_52,1
0,prey_53,1
0,prey_54,1
0,prey_55,1
0,prey_56,1
0,prey_57,1
0,prey_58,1
0,prey_59,1
0,prey_60,1
0,prey_61,1
0,prey_62,1
0,prey_63,1
0,prey_64,1
0,prey_65,1
0,prey_66,1
0,prey_67,1
0,prey_68,1
0,prey_69,1
0,prey_70,1
0,prey_71,2
0,prey_72,1
0,prey_73,1
0,prey_74,1
0,prey_75,1
0,prey_76,1
0,prey_77,1
0,prey_78,1
0,prey_79,1
0,prey_80,1
0,prey_81,1
0,prey_82,1
0,prey_83,1
0,prey_84,1
0,prey_85,1
0,prey_86,1
0,prey_87,1
0,prey_88,1
0,prey_89,1
0,prey_90,1
0,prey_91,1
0,prey_92,1
0,prey_93,1
0,prey_94,1
0,prey_95,1
0,prey_96,1
0,prey_97,1
0,prey_98,1
0,prey_99,1
0,bea56c46-8504-4a54-ae4f-f0c6507c95cf,1
0,59f5b480-aab7-4248-b9c8-d1d731dd1ed0,1
0,3e8a0294-2816-4084-b4b5-3081412ef07c,1
0,cb43dadb-5d57-4061-ac55-0b1c1c03b330,1
0,ee47d5c7-aea9-4de5-86af-253d2730d79c,1
0,5d16bc53-d965-4aaa-89c5-31a136b683ec,1
0,4bda2e2c-5f61-47e9-b67d-09c6be9a2bfd,1
0,ede9564d-6d3b-4cb3-b63e-64d1e2dfaba7,1
0,8c43c07d-bb6f-4b81-9cbc-81e4bc2d5c84,1
0,6c48079a-04e8-49d8-b5fe-a57f72856463,1
0,820ca6cb-b937-4c09-912d-8f9a72f165e5,1
0,a50730c1-b6c6-4bd3-9442-9d6b84e89bb7,1
0,63bc3c83-2e17-41f7-b0a1-334170640267,1
0,97e1d997-4905-4899-9ee8-357d29293c25,1
0,ff825594-5294-475e-bf01-c00c460873fa,1
0,f7ab50c6-fedc-427e-82b4-c688345cde0f,1
0,5cf4be1e-0907-427f-9e18-abe325de8aca,1
0,eb65b256-ec8c-4774-a172-d8417211af9a,1
0,dff9d41c-8c9b-4c19-bfe3-54772f632c65,1
0,fd844d03-65c4-4274-ab8d-ae8e3c871d4f,1
0,c4a30e87-2994-4e1f-a46d-f8d9c28252d7,1
0,519eedef-bcf0-422e-8d55-3edb42ef7f9b,1
0,0f952cb1-1e69-4e58-9b61-50649314a6ee,1
0,7e7f800a-bcee-45a1-912b-2a31d93cdf19,1
0,47853b5b-04c2-437c-bb57-0f0788e756d8,1
0,5f6bf4dc-d994-48f8-9db9-790caf6e4723,1
0,06c26813-7048-4c70-80d3-59a5426c4913,1
0,d98410d1-f64e-40d1-89dd-d20b3092f026,1
0,5aa471ec-e2b3-49cd-ba6f-dbbcde9118f7,1
0,eb4dd3eb-f351-4a51-ac63-c5c0bad22c44,1
0,fe7a8092-90b9-477d-bb82-bb3e975af6b0,1
0,bd6d2931-ee48-49d3-86f3-9c96d2bcfb9e,1
0,23741940-e0b6-4f74-870c-4e966d270188,1
0,c9fe8137-9432-47bf-9549-30b5f13f189a,1
0,dcf1077b-a015-4a56-b9f7-f975d169bdc1,1
0,73e13092-bcee-42b6-a591-13c88e100a1b,1
0,0e059066-623c-49df-8ec2-988d6cf8c2de,1
0,5f429f0d-6a02-4e98-808b-01ca455ec370,1
0,7b892fe6-2330-4e43-8281-45018078f6dc,1
0,0c3149a9-238c-48b4-894b-bf8cd85ee74b,1
0,6e92ab69-e9be-4ed7-bb4d-e334e6ccb0c3,1
