step,agent_id,agent_name,species_id,health,energy,position_x,position_y,generation,age,speed,intelligence,aggression,cooperation,pollution_tolerance,action,reward
0,fa99c077-4687-40f3-9593-c393619682b9,Agent_0,prey_0,100,99.63202846730108,23,61,0,0,3.6797153269891103,1.71934985386279,7.717503231747443,9.97971782432748,6.453444031833537,move,-3
0,6174a7c7-c525-4966-b73c-4d80190bbb71,Agent_1,prey_1,100,99.21980142148279,16,62,0,0,7.801985785172147,3.874937341572597,4.197775472248009,6.2308743667577335,2.7540688335784163,move,-5
0,3463ada3-49cf-4a5d-84e4-0b7a3b151f89,Agent_2,prey_2,100,99.47389297624301,47,39,0,0,5.261070237569891,2.104104714618043,9.365093004568545,9.085091366528811,8.232495796381583,move,-3
0,b0eaee11-5984-4bf0-9aaa-8dcebfe4a46a,Agent_3,prey_3,100,100.0,16,20,0,0,8.371323291196397,1.824996186087743,7.246608289327175,4.854507281206052,1.8697355883536613,rest,0
0,7a4fa2e5-8786-4a1b-9b28-7d934bb7ddd6,Agent_4,prey_4,100,100.0,17,8,0,0,9.127522174128702,8.130611812099534,7.1526692714520435,7.479480204059639,3.377060348393758,rest,0
0,3466df7b-e433-43f3-8148-4de1a0e892a9,Agent_5,prey_5,100,99.0710915390575,34,72,0,0,9.289084609425014,5.705994656018094,2.5725148107027342,6.608513674765814,9.906386487005792,move,-3
0,7d1bd76c-eca2-490d-b381-176ed4f18a4e,Agent_6,prey_6,100,100.0,13,69,0,0,4.476232970906352,2.528495770911802,3.752241493450699,8.709273604136209,7.5921363973244285,rest,0
0,427757b5-2187-40c4-b411-71a7f9b49d8b,Agent_7,prey_7,100,99.56371391171962,7,27,0,0,4.36286088280379,1.7584853190470637,5.544895478766053,4.921784447270783,8.88138166896988,move,-5
0,7d60aafc-401e-460f-8135-081aa3087cdf,Agent_8,prey_8,100,100.0,42,86,0,0,8.011852613141077,7.007857851090505,3.0244793149379285,9.251978590549093,3.3146674733022587,rest,0
0,1ad8cf34-8555-4b8d-98aa-5b4685aef10e,Agent_9,prey_9,100,100.0,17,95,0,0,3.100886659423199,1.7655393359187113,6.237008207100214,9.455856206596415,6.930499077830552,eat,0
0,c5b3b518-08fe-4cb6-95bc-a4dfab8218f1,Agent_10,prey_10,100,100.0,43,90,0,0,5.785889600848157,3.099834521653596,3.2326518103244415,4.183599940791082,8.435383123244108,rest,0
0,cbb9aa31-ea91-4026-8baa-6b88a533d4a6,Agent_11,prey_11,100,99.00964363396375,28,95,0,0,9.903563660362561,8.720580239762716,5.350857116257091,6.02414160517513,2.3630264852601046,move,-5
0,e82b4e6d-b7d3-42c5-8a46-5f56efe2c88d,Agent_12,prey_12,100,100.0,32,28,0,0,9.410595854876492,2.264879693243445,7.264351540423218,3.595075973993857,6.450747699557036,eat,0
0,9971357b-ea02-4fce-9f2c-3f8992830eb9,Agent_13,prey_13,100,99.44953414579678,44,42,0,0,5.504658542032187,2.061951858594579,8.16531688069442,4.046910458646048,8.833833320190228,move,-3
0,7a298d36-9fdc-452f-8ddb-2197e4ad5666,Agent_14,prey_14,100,99.3119066199233,39,62,0,0,6.880933800766962,6.131012570843495,4.142920904967228,7.468451980905728,1.0408632093851096,move,-5
0,5dd67fa4-89fe-46bf-b2bc-671e6543f780,Agent_15,prey_15,100,100.0,21,37,0,0,5.80543042027075,8.76794498787571,1.0895503991466349,9.769613468139049,1.9710381934739158,eat,0
0,6924f26f-936e-4f52-8811-738d2e0300c5,Agent_16,prey_16,100,100.0,8,92,0,0,1.2797252251355973,1.5961752894921002,9.603993696986166,4.26301030282143,9.323600768079675,rest,0
0,2a4fe111-4959-43c9-b852-deb171db8b95,Agent_17,prey_17,100,99.87737013721335,44,99,0,0,1.2262986278665249,2.5791814741489776,4.716993776887627,1.2080156164997042,6.993763725251493,move,-3
0,565c9ec2-552a-428b-9a8b-8da93b3641c7,Agent_18,prey_18,100,100.0,20,19,0,0,8.73491122547856,1.9339792679078647,4.596071443018813,6.053898763305509,2.917637365923339,eat,0
0,c1ad27f4-3e0d-4f41-b7e1-63ccbf127f81,Agent_19,prey_19,100,100.0,32,89,0,0,6.453228315496091,7.416268746462981,8.184205442822726,1.0629087244782234,4.8575690500191,rest,0
0,84f547ff-308d-443f-a67b-f00a6ee9f845,Agent_20,prey_20,100,99.73901624618941,39,31,0,0,2.6098375381059844,7.0155256045253775,8.671556505396913,2.8682912683890422,4.162558442119762,move,0
0,56599ac6-2e55-48f0-abe5-567f526687d8,Agent_21,prey_21,100,100.0,28,41,0,0,5.653745740658254,1.088349168145566,6.023166534157784,3.2830213586993944,2.942378723599059,eat,0
0,98db1cd5-e588-4608-aac3-04f7bfd1a660,Agent_22,prey_22,100,99.55136877804213,22,47,0,0,4.486312219578675,1.7552354353645732,9.662865700496138,3.7473388336242928,5.374698122274374,move,-5
0,4eac61c3-69af-44f1-ac58-bc2c23a363a8,Agent_23,prey_23,100,99.30349760479298,7,18,0,0,6.965023952070202,9.019007889160566,2.32323625147163,9.49299940727246,7.203878460024771,move,-5
0,38824a6f-c4fb-4931-9d83-6e3c5b6abf22,Agent_24,prey_24,100,100.0,4,22,0,0,9.157364326575161,9.411216108552445,6.388470211008453,4.618926529757594,7.908041399416981,rest,0
